individual_id,species_id,pokemon_id,identifier,identifier_species,has_gender_differences,gender_rate,gender,height,height_meters,height_ft,individual_height_ft,weight,weight_kg,weight_lbs,individual_weight_lbs,base_exp,order,forms_switchable,is_default,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,capture_rate,base_happiness,is_baby,hatch_counter,growth_rate_id,order_species,base_hp,base_attack,base_defense,base_special_attack,base_special_defense,base_speed,effort_hp,effort_attack,effort_defense,effort_special_attack,effort_special_defense,effort_speed
3508,1,1,bulbasaur,bulbasaur,0,1,male,7,0.7,2.12,1.94,69,6.9,15.2,13.92,64,1,0,1,1,NA,1,5,8,3,45,70,0,20,4,1,45,49,49,65,65,45,0,0,0,1,0,0
4529,1,1,bulbasaur,bulbasaur,0,1,male,7,0.7,2.12,2.00,69,6.9,15.2,14.37,64,1,0,1,1,NA,1,5,8,3,45,70,0,20,4,1,45,49,49,65,65,45,0,0,0,1,0,0
3177,1,1,bulbasaur,bulbasaur,0,1,male,7,0.7,2.12,2.18,69,6.9,15.2,15.62,64,1,0,1,1,NA,1,5,8,3,45,70,0,20,4,1,45,49,49,65,65,45,0,0,0,1,0,0
1041,1,1,bulbasaur,bulbasaur,0,1,male,7,0.7,2.12,2.45,69,6.9,15.2,17.57,64,1,0,1,1,NA,1,5,8,3,45,70,0,20,4,1,45,49,49,65,65,45,0,0,0,1,0,0
1870,1,1,bulbasaur,bulbasaur,0,1,male,7,0.7,2.12,2.18,69,6.9,15.2,15.66,64,1,0,1,1,NA,1,5,8,3,45,70,0,20,4,1,45,49,49,65,65,45,0,0,0,1,0,0
191,1,1,bulbasaur,bulbasaur,0,1,female,7,0.7,2.12,1.98,69,6.9,15.2,14.17,64,1,0,1,1,NA,1,5,8,3,45,70,0,20,4,1,45,49,49,65,65,45,0,0,0,1,0,0
1190,1,1,bulbasaur,bulbasaur,0,1,female,7,0.7,2.12,2.10,69,6.9,15.2,15.08,64,1,0,1,1,NA,1,5,8,3,45,70,0,20,4,1,45,49,49,65,65,45,0,0,0,1,0,0
1110,1,1,bulbasaur,bulbasaur,0,1,female,7,0.7,2.12,1.96,69,6.9,15.2,14.04,64,1,0,1,1,NA,1,5,8,3,45,70,0,20,4,1,45,49,49,65,65,45,0,0,0,1,0,0
1737,1,1,bulbasaur,bulbasaur,0,1,female,7,0.7,2.12,2.12,69,6.9,15.2,15.21,64,1,0,1,1,NA,1,5,8,3,45,70,0,20,4,1,45,49,49,65,65,45,0,0,0,1,0,0
3712,2,2,ivysaur,ivysaur,0,1,female,10,1,3.028,2.96,130,13,28.7,28.08,142,2,0,1,1,1,1,5,8,3,45,70,0,20,4,2,60,62,63,80,80,60,0,0,0,1,1,0
3265,2,2,ivysaur,ivysaur,0,1,female,10,1,3.028,2.87,130,13,28.7,27.23,142,2,0,1,1,1,1,5,8,3,45,70,0,20,4,2,60,62,63,80,80,60,0,0,0,1,1,0
4069,2,2,ivysaur,ivysaur,0,1,male,10,1,3.028,2.92,130,13,28.7,27.67,142,2,0,1,1,1,1,5,8,3,45,70,0,20,4,2,60,62,63,80,80,60,0,0,0,1,1,0
3768,3,3,venusaur,venusaur,1,1,male,20,2,6.056,5.98,1000,100,220.5,217.81,236,3,1,1,1,2,1,5,8,3,45,70,0,20,4,3,80,82,83,100,100,80,0,0,0,2,1,0
1884,3,3,venusaur,venusaur,1,1,female,20,2,6.056,6.19,1000,100,220.5,225.34,236,3,1,1,1,2,1,5,8,3,45,70,0,20,4,3,80,82,83,100,100,80,0,0,0,2,1,0
735,3,10033,venusaur-mega,venusaur,1,1,male,24,2.4,7.267,7.34,1555,155.5,342.8,346.05,281,4,1,0,1,2,1,5,8,3,45,70,0,20,4,3,80,100,123,122,120,80,0,0,0,2,1,0
942,3,10033,venusaur-mega,venusaur,1,1,male,24,2.4,7.267,7.36,1555,155.5,342.8,347.09,281,4,1,0,1,2,1,5,8,3,45,70,0,20,4,3,80,100,123,122,120,80,0,0,0,2,1,0
2183,3,10033,venusaur-mega,venusaur,1,1,female,24,2.4,7.267,7.03,1555,155.5,342.8,331.71,281,4,1,0,1,2,1,5,8,3,45,70,0,20,4,3,80,100,123,122,120,80,0,0,0,2,1,0
1429,4,4,charmander,charmander,0,1,female,6,0.6,1.817,1.91,85,8.5,18.7,19.62,62,5,0,1,1,NA,2,8,6,4,45,70,0,20,4,4,39,52,43,60,50,65,0,0,0,0,0,1
1797,4,4,charmander,charmander,0,1,male,6,0.6,1.817,1.72,85,8.5,18.7,17.67,62,5,0,1,1,NA,2,8,6,4,45,70,0,20,4,4,39,52,43,60,50,65,0,0,0,0,0,1
588,4,4,charmander,charmander,0,1,male,6,0.6,1.817,1.78,85,8.5,18.7,18.34,62,5,0,1,1,NA,2,8,6,4,45,70,0,20,4,4,39,52,43,60,50,65,0,0,0,0,0,1
694,4,4,charmander,charmander,0,1,female,6,0.6,1.817,1.99,85,8.5,18.7,20.45,62,5,0,1,1,NA,2,8,6,4,45,70,0,20,4,4,39,52,43,60,50,65,0,0,0,0,0,1
