,identifier,species_id,sprite_location,height,weight,base_experience,order,is_default,identifier_species,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id,forms_switchable,order_species,base_hp,base_attack,base_defense,base_special_attack,base_special_defense,base_speed,effort_hp,effort_attack,effort_defense,effort_special_attack,effort_special_defense,effort_speed
1,bulbasaur,1,1,7,69,64,1,1,bulbasaur,1,,1,5,8,3,1,45,70,0,20,0,4,0,1,45,49,49,65,65,45,0,0,0,1,0,0
2,ivysaur,2,2,10,130,142,2,1,ivysaur,1,1,1,5,8,3,1,45,70,0,20,0,4,0,2,60,62,63,80,80,60,0,0,0,1,1,0
3,venusaur,3,3,20,1000,236,3,1,venusaur,1,2,1,5,8,3,1,45,70,0,20,1,4,1,3,80,82,83,100,100,80,0,0,0,2,1,0
10033,venusaur-mega,3,5,24,1555,281,4,0,venusaur,1,2,1,5,8,3,1,45,70,0,20,1,4,1,3,80,100,123,122,120,80,0,0,0,2,1,0
4,charmander,4,6,6,85,62,5,1,charmander,1,,2,8,6,4,1,45,70,0,20,0,4,0,4,39,52,43,60,50,65,0,0,0,0,0,1
5,charmeleon,5,7,11,190,142,6,1,charmeleon,1,4,2,8,6,4,1,45,70,0,20,0,4,0,5,58,64,58,80,65,80,0,0,0,1,0,1
6,charizard,6,8,17,905,240,7,1,charizard,1,5,2,8,6,4,1,45,70,0,20,0,4,1,6,78,84,78,109,85,100,0,0,0,3,0,0
10034,charizard-mega-x,6,9,17,1105,285,8,0,charizard,1,5,2,8,6,4,1,45,70,0,20,0,4,1,6,78,130,111,130,85,100,0,0,0,3,0,0
10035,charizard-mega-y,6,10,17,1005,285,9,0,charizard,1,5,2,8,6,4,1,45,70,0,20,0,4,1,6,78,104,78,159,115,100,0,0,0,3,0,0
7,squirtle,7,11,5,90,63,10,1,squirtle,1,,3,2,6,9,1,45,70,0,20,0,4,0,7,44,48,65,50,64,43,0,0,1,0,0,0
8,wartortle,8,12,10,225,142,11,1,wartortle,1,7,3,2,6,9,1,45,70,0,20,0,4,0,8,59,63,80,65,80,58,0,0,1,0,1,0
9,blastoise,9,13,16,855,239,12,1,blastoise,1,8,3,2,6,9,1,45,70,0,20,0,4,1,9,79,83,100,85,105,78,0,0,0,0,3,0
10036,blastoise-mega,9,14,16,1011,284,13,0,blastoise,1,8,3,2,6,9,1,45,70,0,20,0,4,1,9,79,103,120,135,115,78,0,0,0,0,3,0
10,caterpie,10,15,3,29,39,14,1,caterpie,1,,4,5,14,2,4,255,70,0,15,0,2,0,10,45,30,35,20,20,45,1,0,0,0,0,0
11,metapod,11,16,7,99,72,15,1,metapod,1,10,4,5,2,2,4,120,70,0,15,0,2,0,11,50,20,55,25,25,30,0,0,2,0,0,0
12,butterfree,12,17,11,320,178,16,1,butterfree,1,11,4,9,13,2,4,45,70,0,15,1,2,0,12,60,45,50,90,80,70,0,0,0,2,1,0
13,weedle,13,19,3,32,39,17,1,weedle,1,,5,3,14,2,4,255,70,0,15,0,2,0,13,40,35,30,20,20,50,0,0,0,0,0,1
14,kakuna,14,20,6,100,72,18,1,kakuna,1,13,5,10,2,2,4,120,70,0,15,0,2,0,14,45,25,50,25,25,35,0,0,2,0,0,0
15,beedrill,15,21,10,295,178,19,1,beedrill,1,14,5,10,13,2,4,45,70,0,15,0,2,1,15,65,90,40,45,80,75,0,2,0,0,1,0
10090,beedrill-mega,15,22,14,405,223,20,0,beedrill,1,14,5,10,13,2,4,45,70,0,15,0,2,1,15,65,150,40,15,80,145,0,2,0,0,1,0
16,pidgey,16,23,3,18,50,21,1,pidgey,1,,6,3,9,2,4,255,70,0,15,0,4,0,16,40,45,40,35,35,56,0,0,0,0,0,1
17,pidgeotto,17,24,11,300,122,22,1,pidgeotto,1,16,6,3,9,2,4,120,70,0,15,0,4,0,17,63,60,55,50,50,71,0,0,0,0,0,2
18,pidgeot,18,25,15,395,216,23,1,pidgeot,1,17,6,3,9,2,4,45,70,0,15,0,4,1,18,83,80,75,70,70,101,0,0,0,0,0,3
10073,pidgeot-mega,18,26,22,505,261,24,0,pidgeot,1,17,6,3,9,2,4,45,70,0,15,0,4,1,18,83,80,80,135,80,121,0,0,0,0,0,3
19,rattata,19,27,3,35,51,25,1,rattata,1,,7,7,8,3,4,255,70,0,15,1,2,0,19,30,56,35,25,35,72,0,0,0,0,0,1
10091,rattata-alola,19,29,3,38,51,26,0,rattata,1,,7,7,8,3,4,255,70,0,15,1,2,0,19,30,56,35,25,35,72,0,0,0,0,0,1
20,raticate,20,30,7,185,145,27,1,raticate,1,19,7,3,8,3,4,127,70,0,15,1,2,0,20,55,81,60,50,70,97,0,0,0,0,0,2
10092,raticate-alola,20,32,7,255,145,28,0,raticate,1,19,7,3,8,3,4,127,70,0,15,1,2,0,20,75,71,70,40,80,77,0,0,0,0,0,2
10093,raticate-totem-alola,20,33,14,1050,145,29,0,raticate,1,19,7,3,8,3,4,127,70,0,15,1,2,0,20,75,71,70,40,80,77,0,0,0,0,0,2
21,spearow,21,34,3,20,52,30,1,spearow,1,,8,3,9,6,4,255,70,0,15,0,2,0,21,40,60,30,31,31,70,0,0,0,0,0,1
22,fearow,22,35,12,380,155,31,1,fearow,1,21,8,3,9,6,4,90,70,0,15,0,2,0,22,65,90,65,61,61,100,0,0,0,0,0,2
23,ekans,23,36,20,69,58,32,1,ekans,1,,9,7,2,3,4,255,70,0,20,0,2,0,23,35,60,44,40,54,55,0,1,0,0,0,0
24,arbok,24,37,35,650,157,33,1,arbok,1,23,9,7,2,3,4,90,70,0,20,0,2,0,24,60,95,69,65,79,80,0,2,0,0,0,0
25,pikachu,25,38,4,60,112,35,1,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
10085,pikachu-cosplay,25,,4,60,112,36,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
10094,pikachu-original-cap,25,40,4,60,112,36,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
10080,pikachu-rock-star,25,,4,60,112,37,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
10095,pikachu-hoenn-cap,25,41,4,60,112,37,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
10081,pikachu-belle,25,,4,60,112,38,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
10096,pikachu-sinnoh-cap,25,42,4,60,112,38,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
10082,pikachu-pop-star,25,,4,60,112,39,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
10097,pikachu-unova-cap,25,43,4,60,112,39,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
10083,pikachu-phd,25,,4,60,112,40,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
